frame.time_relative,ip.src,cmutcp.source_port,ip.dst,cmutcp.destination_port,cmutcp.seq_num,cmutcp.ack_num,cmutcp.hlen,cmutcp.plen,cmutcp.flags,cmutcp.advertised_window,cmutcp.extension_length
2.164784000,10.0.1.1,3120,10.0.1.2,49065,860840243,555045027,33,33,4,29913,0
2.165669000,10.0.1.2,49065,10.0.1.1,3120,555045027,860840243,33,1400,4,65535,0
2.166484000,10.0.1.1,3120,10.0.1.2,49065,860840243,555046394,33,33,4,28546,0
2.168075000,10.0.1.2,49065,10.0.1.1,3120,555046394,860840243,33,1400,4,65535,0
2.168835000,10.0.1.1,3120,10.0.1.2,49065,860840243,555047761,33,33,4,27179,0
2.169578000,10.0.1.2,49065,10.0.1.1,3120,555047761,860840243,33,1400,4,65535,0
2.170427000,10.0.1.1,3120,10.0.1.2,49065,860840243,555049128,33,33,4,25812,0
2.171028000,10.0.1.2,49065,10.0.1.1,3120,555049128,860840243,33,1400,4,65535,0
2.171917000,10.0.1.1,3120,10.0.1.2,49065,860840243,555050495,33,33,4,24445,0
2.172627000,10.0.1.2,49065,10.0.1.1,3120,555050495,860840243,33,1400,4,65535,0
2.173297000,10.0.1.1,3120,10.0.1.2,49065,860840243,555051862,33,33,4,23078,0
2.173863000,10.0.1.2,49065,10.0.1.1,3120,555051862,860840243,33,1400,4,65535,0
2.174277000,10.0.1.1,3120,10.0.1.2,49065,860840243,555053229,33,33,4,21711,0
2.174771000,10.0.1.2,49065,10.0.1.1,3120,555053229,860840243,33,1400,4,65535,0
2.175296000,10.0.1.1,3120,10.0.1.2,49065,860840243,555054596,33,33,4,20344,0
2.176310000,10.0.1.2,49065,10.0.1.1,3120,555054596,860840243,33,1400,4,65535,0
2.177153000,10.0.1.1,3120,10.0.1.2,49065,860840243,555055963,33,33,4,18977,0
2.177926000,10.0.1.2,49065,10.0.1.1,3120,555055963,860840243,33,1400,4,65535,0
2.178376000,10.0.1.1,3120,10.0.1.2,49065,860840243,555057330,33,33,4,17610,0
2.178837000,10.0.1.2,49065,10.0.1.1,3120,555057330,860840243,33,1400,4,65535,0
2.179474000,10.0.1.1,3120,10.0.1.2,49065,860840243,555058697,33,33,4,16243,0
2.180024000,10.0.1.2,49065,10.0.1.1,3120,555058697,860840243,33,1400,4,65535,0
2.180446000,10.0.1.1,3120,10.0.1.2,49065,860840243,555060064,33,33,4,14876,0
2.181017000,10.0.1.2,49065,10.0.1.1,3120,555060064,860840243,33,1400,4,65535,0
2.181466000,10.0.1.1,3120,10.0.1.2,49065,860840243,555061431,33,33,4,13509,0
2.182215000,10.0.1.2,49065,10.0.1.1,3120,555061431,860840243,33,1400,4,65535,0
2.182643000,10.0.1.1,3120,10.0.1.2,49065,860840243,555062798,33,33,4,12142,0
2.183518000,10.0.1.2,49065,10.0.1.1,3120,555062798,860840243,33,1400,4,65535,0
2.184033000,10.0.1.1,3120,10.0.1.2,49065,860840243,555064165,33,33,4,10775,0
2.184743000,10.0.1.2,49065,10.0.1.1,3120,555064165,860840243,33,1400,4,65535,0
2.185487000,10.0.1.1,3120,10.0.1.2,49065,860840243,555065532,33,33,4,9408,0
2.186351000,10.0.1.2,49065,10.0.1.1,3120,555065532,860840243,33,1400,4,65535,0
2.187785000,10.0.1.1,3120,10.0.1.2,49065,860840243,555066899,33,33,4,8041,0
